<18724594-0a67-677e-f102-8d0a4091628f@pocock.pro>,debian-outreach@lists.debian.org,pki-clean-room-devel@lists.alioth.debian.org,Re: GSoC 2018: PKI/PGP Clean Room
<5aac0a26-cd82-7a5a-dbfb-7d078d806bd6@pocock.pro>,debian-outreach@lists.debian.org,debian-hams@lists.debian.org,Re: GSoC 2018: Broadcast data from GPredict
<69f9bd74-8eec-cbb1-8c9f-1ac32c988a5f@pocock.pro>,debian-outreach@lists.debian.org,free-rtc@lists.fsfe.org,Re: GSoC 2018: Click-to-dial popup
<89e377d5-f7a8-2600-4d49-c985b718fe9c@pocock.pro>,debian-outreach@lists.debian.org,free-rtc@lists.fsfe.org,Re: GSoC 2018: Telify replacement
<d316fe56-ce15-a796-7a22-41dc974312f2@pocock.pro>,debian-outreach@lists.debian.org,manu@snapdragon.cc,Re: GSoC 2018: Extracting data from PDF invoices
<3a9585b2-341c-ae2e-763e-d6b5693e8b2e@pocock.pro>,debian-outreach@lists.debian.org,,Re: GSoC 2018: Firefox plugins for free software habits
<bdc65adc-6186-c99d-0dae-c947a0534ea0@pocock.pro>,debian-outreach@lists.debian.org,,Re: GSoC 2018: Kanban Board for Debian Bug Tracker
<6e664402-a134-e55e-8a22-0fdf7449ada5@pocock.pro>,debian-outreach@lists.debian.org,mit+1aa4fd97c24898bae2e7d186e7e1defa@discoursemail.com,Re: GSoC 2018: OpenAg Food Computer
<d4e9a067-5321-485a-f11f-683fa1974ed3@pocock.pro>,debian-outreach@lists.debian.org,debian-java@lists.debian.org,Re: GSoC 2018: Recursively building Java dependencies from source
<290c9dc4-d6f9-6820-9277-a1d83cd93e79@pocock.pro>,debian-outreach@lists.debian.org,,Re: GSoC 2018: Calendar database of social events
<fac6cb4c-f599-b035-b76a-b5ae40e1a6ef@pocock.pro>,debian-outreach@lists.debian.org,,Re: GSoC 2018: Wizard/GUI helping students get started
